speech,label,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_9,mfcc_10,mfcc_12,mfcc_14,mfcc_15,mfcc_17,mfcc_19,mfcc_20,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,chroma_1,chroma_8,spectral_1,spectral_2,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6
../data\Angry_Female\anger_xn_1.wav,angry,-494.27545,134.56302,-25.692625,44.874004,-6.7134957,-20.871096,13.515034,-5.7265606,1.5270056,4.047976,1.2043843,2.8373833,0.5337494,-9.017207,-1.1587592,-3.7055774,-5.191361,-4.1756787,-3.918008,-4.024291,-4.7330103,-7.9159255,-5.260963,-2.3622973,-3.1756606,-2.105149,-0.62507135,1.3148034,-0.5799061,1.4905152,-0.37810528,0.3676999,2.9491484,0.4027337,0.5038012,31.923483709090114,17.95630988837545,0.05939995363129265,0.014392113162624462,0.11836342392740976,0.0368992509619279,0.04729313986197413,-0.028096302375087145
../data\Angry_Female\anger_xn_10.wav,angry,-489.2374,95.24146,-6.124708,45.02178,-1.017477,-12.822159,15.77024,-8.326754,-2.2007637,2.6118383,1.955983,0.015055726,0.023548348,-6.2502756,1.0749127,2.5960581,-0.06545607,-2.7518425,-1.1956848,-0.5950036,-0.5734044,-1.878504,-0.8977748,0.3110281,-0.5153727,-0.31649736,-2.8433006,-4.694559,-1.9334437,-1.6291606,-1.4261332,-0.34675953,0.73134154,0.4096269,0.52600425,29.469379787736102,16.135759915036665,-0.010317819505462051,0.051561426163225205,0.045706114916052816,-0.027529856355007595,-0.004010648595988584,-0.008054743799827133
../data\Angry_Female\anger_xn_11.wav,angry,-520.5528,101.38983,-10.185467,41.562035,3.1152616,-10.974776,11.411966,-1.2417028,-0.9559064,8.064444,2.2569163,3.4353714,1.8807964,-2.0407348,-0.5235479,-2.9927864,-4.7808657,-2.728626,-3.5653522,-4.7841754,0.65632856,0.8675523,1.5393771,0.69570255,-3.0646439,-1.2400475,-1.6318142,-2.4919643,-2.1601334,-1.3860954,-2.235185,-1.8906043,-2.3817246,0.62757343,0.5402343,28.94463838177258,13.118379251382697,0.0056765715919288974,-0.0027391692877892144,0.1169424870862142,0.06589732761494808,-0.0055318728548115655,-0.03739131590616552
../data\Angry_Female\anger_xn_12.wav,angry,-490.04434,127.46854,-25.104696,38.66941,-12.717003,-19.364574,20.204561,-6.2945147,-0.6983881,6.5696435,-0.010921835,3.3534124,-2.3978763,-4.179313,0.77620864,-2.8711739,-3.813593,-3.563256,-2.711635,-2.0581472,-0.40919122,-2.309243,0.52472484,2.1191468,-1.6509465,-1.2855226,-2.0597687,-2.95266,-3.9292946,-4.234304,-3.5847263,-1.7606524,-0.7765426,0.45455042,0.49939087,29.633751906805376,15.092322006824503,0.042002767609512576,0.04688674477832515,0.056951090411728765,0.03529417968331598,0.02887811550135526,-0.020694515946665427
../data\Angry_Female\anger_xn_13.wav,angry,-475.49997,120.51346,-31.929777,47.917557,-6.1032085,-19.414783,9.694456,-2.1367025,3.2266724,7.854908,-1.6323131,1.7660431,-1.1084744,-5.753899,-0.25374013,0.38212097,-2.0834782,-4.6910725,-5.910034,-6.704877,-2.7429264,-5.801114,-6.3729033,-2.2654543,-1.0644382,2.6546805,3.174966,3.3926444,-2.054071,-1.4586577,0.35716307,-0.20676586,-0.7644638,0.35028026,0.55028355,30.63889191989532,15.346130856050202,0.01997384132474703,0.03396154281416422,0.09824095147501496,0.08018602916329574,0.02004158404042088,-0.017512854306527183
../data\Angry_Female\anger_xn_14.wav,angry,-466.7655,118.35026,-26.219704,67.355576,-2.3916144,-29.804039,14.217341,-10.711774,-6.279821,5.0079207,-2.0471327,3.863977,-4.326043,-4.3621216,-0.38057813,-5.2528377,-5.5965915,-3.230755,-6.5037956,-10.618821,-7.859572,-8.244544,-4.283055,-0.49712676,-0.51052976,2.1124957,-0.37617093,-0.5750115,-0.54284453,3.1319354,6.67566,7.337191,4.628232,0.36811212,0.5180972,32.16082786577037,17.145728794000934,-0.024175073181272676,0.04335190311384769,0.01750209449701654,0.0436536111724779,-0.004410306076716242,-0.017137654169207563
../data\Angry_Female\anger_xn_15.wav,angry,-543.5172,107.69148,-21.657936,39.252228,4.3569546,-8.124771,15.049422,-0.84735817,-0.2044771,8.030355,1.0206128,2.59933,-0.41529155,-1.9000118,-1.2737436,-0.8246483,-6.442717,-6.4832764,-2.5737908,-3.906183,-3.854232,-3.6943119,-1.0630654,1.2379986,3.05149,3.6602736,1.2137713,1.5466918,-1.7590017,-3.379854,-5.8396506,-1.1141328,-1.7383938,0.43933764,0.62479854,27.639893645310554,14.595175883836582,0.008443743144268928,0.06122803281666612,0.06811364533496045,0.0035615977986399256,0.03603624642296007,-0.023451161403499846
../data\Angry_Female\anger_xn_16.wav,angry,-492.06485,72.44989,-9.035602,38.027687,4.177162,-6.667072,14.3135805,-1.2818607,-2.3037896,5.012795,0.53591716,2.621766,0.17446846,-1.1077174,1.3416587,-3.7715282,-5.0582976,-3.849414,-3.0681334,-6.619172,-4.7859178,-4.092497,-3.1112587,-0.8102367,-2.0924354,-0.71420914,-0.70025665,-2.4062622,1.2361015,1.4499564,2.0979044,1.400391,-1.8379837,0.5303271,0.63360405,30.001539539450413,14.769459899876203,0.008879320248208422,0.04046630112972457,0.03140757691843098,-0.00992207290296505,0.03473134936519209,0.017779703628727734
../data\Angry_Female\anger_xn_17.wav,angry,-507.2953,126.227165,-12.65058,39.66862,-4.270263,-10.507209,14.321227,-8.451952,-4.201851,6.5482526,0.6010846,5.868995,0.08102074,-6.501483,-3.183978,-0.34852198,-3.0585232,-5.713837,-2.5922725,-3.561349,-2.2809834,-3.5621963,-5.041081,-0.880203,-0.121891074,-0.7318401,-0.37949434,-1.2324798,1.5181288,-1.0596148,-2.6883786,-0.98367506,-1.5174537,0.39894623,0.5670404,30.576834998662722,15.91508125824595,-0.005753767561293644,0.037694183355458544,0.05068187188183795,0.0018732598910550324,0.0281322830743249,-0.02165156941321237
../data\Angry_Female\anger_xn_18.wav,angry,-493.69983,110.00751,-16.540136,38.198578,-6.3439236,-10.768481,14.408509,-2.8046498,4.6462817,2.8942506,-0.07832859,1.0031121,2.4273753,-5.087877,0.6592343,-0.16301787,-4.3602133,-5.0204124,-4.122024,-5.592538,-4.559208,-5.8616867,-3.9807653,-1.1414587,-2.4198093,-3.4349062,-3.7841609,-2.3571916,1.3894007,1.6673132,-1.4590194,-0.5168809,-2.1035018,0.3824511,0.5961867,29.64495141762749,15.240900058283499,0.0011220204341873621,0.05168481028131138,0.10789219224901188,-0.020981013578007406,0.023889903141182642,-0.04762130510440554
